fred_series_id,description,category,frequency,datasource,num_revisions,file_type,filename,release_delay
USGOOD,Employment_Goods,B,monthly,ALFRED,3,revision_timeline,B_USGOOD_Employment_Goods_revision_timeline.csv,N/A (actual release dates in data)
USPRIV,Employment_Services,B,monthly,ALFRED,3,revision_timeline,B_USPRIV_Employment_Services_revision_timeline.csv,N/A (actual release dates in data)
CPATAX,Corp_Profits_After_Tax,C,quarterly,ALFRED,2,revision_timeline,C_CPATAX_Corp_Profits_After_Tax_revision_timeline.csv,N/A (actual release dates in data)
CPIAUCSL,CPI_All_Urban,C,monthly,ALFRED,2,revision_timeline,C_CPIAUCSL_CPI_All_Urban_revision_timeline.csv,N/A (actual release dates in data)
CPIHOSSL,CPI_Housing,C,monthly,ALFRED,2,revision_timeline,C_CPIHOSSL_CPI_Housing_revision_timeline.csv,N/A (actual release dates in data)
CPILFESL,Core_CPI,C,monthly,ALFRED,2,revision_timeline,C_CPILFESL_Core_CPI_revision_timeline.csv,N/A (actual release dates in data)
CP,Corporate_Profits,C,quarterly,ALFRED,2,revision_timeline,C_CP_Corporate_Profits_revision_timeline.csv,N/A (actual release dates in data)
GDP,Gross_Domestic_Product,C,quarterly,ALFRED,3,revision_timeline,C_GDP_Gross_Domestic_Product_revision_timeline.csv,N/A (actual release dates in data)
MEDCPIM158SFRBCLE,Median_CPI,C,monthly,ALFRED,1,latest,C_MEDCPIM158SFRBCLE_Median_CPI_latest.csv,"M+2w (Cleveland Fed, with CPI)"
MICH,Michigan_Inflation_Expect,C,monthly,ALFRED,2,revision_timeline,C_MICH_Michigan_Inflation_Expect_revision_timeline.csv,N/A (actual release dates in data)
PCEPILFE,Core_PCE,C,monthly,ALFRED,3,revision_timeline,C_PCEPILFE_Core_PCE_revision_timeline.csv,N/A (actual release dates in data)
PCEPI,PCE_Price_Index,C,monthly,ALFRED,3,revision_timeline,C_PCEPI_PCE_Price_Index_revision_timeline.csv,N/A (actual release dates in data)
PCE,Consumption_Expenditures,C,monthly,ALFRED,3,revision_timeline,C_PCE_Consumption_Expenditures_revision_timeline.csv,N/A (actual release dates in data)
PPIACO,PPI_All_Commodities,C,monthly,ALFRED,2,revision_timeline,C_PPIACO_PPI_All_Commodities_revision_timeline.csv,N/A (actual release dates in data)
PPIFGS,PPI_Finished_Goods,C,monthly,ALFRED,2,revision_timeline,C_PPIFGS_PPI_Finished_Goods_revision_timeline.csv,N/A (actual release dates in data)
T10YIE,10Y_Breakeven_Inflation,C,daily,ALFRED,1,latest,C_T10YIE_10Y_Breakeven_Inflation_latest.csv,T+1
T5YIE,5Y_Breakeven_Inflation,C,daily,ALFRED,1,latest,C_T5YIE_5Y_Breakeven_Inflation_latest.csv,T+1
WPSFD41312,PPI_Capital_Equipment,C,monthly,ALFRED,2,revision_timeline,C_WPSFD41312_PPI_Capital_Equipment_revision_timeline.csv,N/A (actual release dates in data)
AMTMNO,Mfg_New_Orders_Total,D,monthly,ALFRED,2,revision_timeline,D_AMTMNO_Mfg_New_Orders_Total_revision_timeline.csv,N/A (actual release dates in data)
BUSINV,Business_Inventories,D,monthly,ALFRED,2,revision_timeline,D_BUSINV_Business_Inventories_revision_timeline.csv,N/A (actual release dates in data)
DGORDER,Durable_Goods_Orders,D,monthly,ALFRED,2,revision_timeline,D_DGORDER_Durable_Goods_Orders_revision_timeline.csv,N/A (actual release dates in data)
INDPRO,Industrial_Production,D,monthly,ALFRED,4,revision_timeline,D_INDPRO_Industrial_Production_revision_timeline.csv,N/A (actual release dates in data)
ISRATIO,Inventory_Sales_Ratio,D,monthly,ALFRED,2,revision_timeline,D_ISRATIO_Inventory_Sales_Ratio_revision_timeline.csv,N/A (actual release dates in data)
RSAFS,Retail_Sales,D,monthly,ALFRED,2,revision_timeline,D_RSAFS_Retail_Sales_revision_timeline.csv,N/A (actual release dates in data)
TCU,Capacity_Utilization,D,monthly,ALFRED,4,revision_timeline,D_TCU_Capacity_Utilization_revision_timeline.csv,N/A (actual release dates in data)
NFCI,Financial_Conditions,E,weekly,ALFRED,1,latest,E_NFCI_Financial_Conditions_latest.csv,"W+0 (Wed 8:30am ET, Chicago Fed)"
NFCILEVERAGE,Chicago Fed NFCI Leverage Subindex,E,weekly,ALFRED,2,revision_timeline,E_NFCI_Leverage_NFCILEVERAGE_revision_timeline.csv,N/A (actual release dates in data)
NFCIRISK,Chicago Fed NFCI Risk Subindex,E,weekly,ALFRED,2,revision_timeline,E_NFCI_Risk_NFCIRISK_revision_timeline.csv,N/A (actual release dates in data)
STLFSI4,StL_Financial_Stress,E,weekly,ALFRED,1,latest,E_STLFSI4_StL_Financial_Stress_latest.csv,"W+0 (Wed 9:00am CT, St. Louis Fed)"
USEPUINDXD,Econ_Policy_Uncertainty_D,E,daily,ALFRED,1,latest,E_USEPUINDXD_Econ_Policy_Uncertainty_D_latest.csv,T+1
